Soil_Type,Soil_pH,Soil_Moisture,Temperature,Humidity,Rainfall,Crop_Yield
Clay,5.7,20.8,26.4,66.0,190.1,3.29
Loamy,6.67,20.7,32.3,67.8,141.7,3.37
Loamy,6.4,16.3,31.7,68.2,217.8,2.44
Loamy,7.05,11.9,30.8,68.4,155.0,3.83
Clay,5.92,15.6,29.4,74.8,217.0,3.58
Sandy,6.41,18.8,35.5,58.9,214.8,3.92
Loamy,5.81,20.6,34.3,51.1,164.0,4.28
Sandy,7.42,11.2,31.4,58.7,161.4,3.78
Sandy,7.06,18.3,25.1,72.8,94.8,4.21
Clay,6.97,14.1,29.8,52.1,210.1,3.86
Loamy,6.88,19.3,32.7,66.2,192.4,2.83
Sandy,6.35,19.7,26.3,60.6,150.1,3.51
Loamy,7.35,23.7,29.5,73.0,122.9,3.86
Loamy,5.65,16.2,27.1,73.2,197.4,4.05
Clay,7.11,18.1,28.7,69.6,120.8,3.97
Loamy,5.93,14.0,25.3,52.5,155.9,3.84
Loamy,6.15,14.3,26.4,50.6,107.8,2.53
Sandy,6.54,10.7,30.0,53.4,192.6,2.3
Clay,7.07,14.3,34.9,58.0,185.4,2.69
Loamy,7.18,11.0,30.4,56.0,120.8,2.92
Sandy,6.67,24.5,30.0,59.2,96.4,2.66
Clay,6.31,19.4,33.7,53.6,104.8,3.73
Clay,7.39,12.6,27.9,68.8,166.3,3.27
Sandy,5.99,11.8,26.0,71.1,101.0,4.15
Sandy,7.11,15.6,27.3,62.2,124.8,3.0
Sandy,6.72,14.6,33.7,73.9,197.5,2.72
Sandy,6.25,14.2,32.4,53.0,91.4,3.74
Sandy,5.5,17.0,26.0,52.6,161.4,2.45
Loamy,6.39,23.7,32.3,55.0,136.0,4.49
Loamy,6.05,18.5,35.2,74.5,96.8,3.66
Clay,5.71,17.8,25.5,60.4,151.3,2.75
Loamy,5.65,22.1,31.8,73.1,152.3,3.97
Loamy,6.2,10.1,29.2,55.1,132.9,2.44
Loamy,6.73,13.0,30.5,71.2,87.7,3.78
Sandy,7.18,17.4,30.8,57.8,109.0,3.03
Clay,5.87,20.6,33.5,68.4,136.7,3.56
Clay,6.35,17.3,31.1,74.4,118.8,4.02
Clay,6.28,12.5,31.5,73.3,102.5,4.33
Clay,6.53,23.9,28.7,70.8,148.2,2.33
Loamy,7.12,14.9,26.4,51.3,135.7,3.31
Loamy,6.61,21.8,32.5,65.2,173.1,3.5
Sandy,7.19,23.4,25.0,70.9,158.5,3.24
Clay,6.54,15.2,28.6,60.0,103.8,4.29
Loamy,6.71,22.7,27.4,68.3,176.3,2.91
Loamy,6.37,20.7,29.3,53.5,145.2,3.97
Sandy,7.15,23.6,28.4,54.4,95.9,2.17
Sandy,7.35,13.8,32.7,66.1,82.6,2.91
Sandy,6.78,24.0,27.9,60.9,167.7,2.56
Loamy,7.14,11.0,31.2,55.5,166.6,3.62
Loamy,5.62,21.9,30.0,57.1,194.9,4.1
Sandy,7.31,16.5,33.8,65.5,186.7,3.87
Clay,5.88,12.7,29.7,68.1,202.9,3.29
Sandy,6.01,11.2,34.5,55.2,120.9,4.13
Sandy,5.61,15.8,25.0,73.9,137.8,3.14
Sandy,7.43,15.8,31.7,50.2,88.7,3.26
Sandy,7.2,13.4,25.1,67.5,137.6,2.71
Loamy,7.33,13.2,32.9,57.3,110.8,2.92
Clay,7.19,16.0,27.6,62.0,192.7,4.07
Sandy,6.46,16.2,29.2,64.2,171.9,4.55
Clay,7.35,16.6,29.2,64.0,189.4,2.56
Clay,7.44,23.0,34.3,69.4,162.9,3.55
Clay,6.51,19.2,26.1,70.6,163.7,2.06
Sandy,5.85,10.3,32.3,51.8,112.9,4.1
Loamy,6.82,17.8,35.8,67.6,173.8,2.9
Sandy,7.45,21.4,25.2,60.0,100.2,3.93
Clay,7.24,10.8,35.6,70.5,118.6,2.77
Clay,7.22,16.3,25.2,65.2,105.2,3.83
Loamy,7.37,16.8,34.3,50.3,212.9,3.54
Sandy,7.29,24.3,35.6,66.7,205.7,2.28
Clay,7.05,17.1,35.9,73.1,202.5,4.01
Loamy,6.94,21.2,30.1,52.1,214.4,2.97
Clay,6.03,14.5,34.5,62.4,165.8,2.96
Loamy,6.74,21.7,26.3,65.6,205.3,2.51
Loamy,6.54,14.8,29.7,54.9,120.9,2.85
Sandy,7.22,16.5,28.4,66.3,133.9,3.89
Clay,6.48,17.2,29.3,51.2,145.4,3.65
Sandy,5.76,23.9,32.7,72.6,92.5,3.3
Clay,5.51,10.8,26.0,69.1,195.5,3.9
Sandy,6.86,13.0,36.0,73.5,96.7,3.84
Clay,6.6,20.6,32.0,60.5,192.0,3.38
Sandy,6.16,18.7,34.6,50.9,209.1,2.86
Loamy,5.84,13.8,34.1,58.5,159.5,2.44
Clay,6.43,14.3,33.4,62.9,103.2,4.43
Clay,5.7,15.5,25.4,73.4,141.1,3.02
Loamy,6.17,16.8,30.7,72.1,99.4,3.95
Sandy,6.26,22.3,28.6,64.9,96.7,2.44
Clay,6.43,10.2,26.2,68.2,185.9,4.36
Clay,6.43,23.5,28.8,73.8,135.0,2.41
Sandy,6.01,16.2,32.1,71.3,80.0,3.43
Loamy,7.2,13.5,27.5,66.5,86.8,3.95
Sandy,6.21,17.6,29.9,63.5,194.5,4.4
Sandy,5.96,19.9,29.4,61.9,166.8,3.82
Sandy,5.85,10.7,25.6,68.9,198.2,3.65
Clay,6.15,20.7,31.9,70.2,118.3,4.57
Loamy,5.64,21.4,31.8,55.4,124.0,2.67
Loamy,5.57,12.5,35.6,61.9,166.4,3.36
Sandy,6.71,12.5,28.3,69.3,173.1,3.5
Clay,6.74,13.1,29.6,66.9,83.7,2.85
Sandy,6.56,21.9,29.4,64.8,207.0,3.02
Clay,7.02,14.1,35.1,58.1,191.9,2.46
Clay,5.58,21.9,29.5,65.2,98.5,4.14
Clay,7.37,18.1,29.9,65.3,81.4,3.08
Clay,5.69,21.5,27.8,60.8,187.7,4.02
Loamy,6.85,18.3,25.0,74.0,206.4,4.17
Clay,5.77,15.0,26.2,66.3,125.1,4.18
Clay,7.26,23.7,32.7,71.3,124.9,4.07
Sandy,6.52,20.7,32.5,53.2,152.0,3.95
Sandy,5.66,17.3,28.5,68.9,174.4,3.17
Loamy,6.73,19.6,30.2,65.0,170.7,2.98
Sandy,5.52,19.2,28.3,57.7,185.4,3.44
Clay,7.05,15.4,33.0,53.4,96.0,2.89
Sandy,6.8,16.4,34.3,59.5,152.8,4.26
Loamy,5.93,14.8,34.9,61.0,150.9,4.16
Sandy,6.25,25.0,26.9,53.5,213.0,4.56
Sandy,5.52,18.7,32.6,66.8,208.6,3.37
Loamy,6.89,11.4,35.6,57.7,185.0,3.7
Loamy,6.15,17.8,32.2,70.2,202.8,3.25
Clay,6.64,10.7,28.9,66.2,184.4,2.85
Sandy,7.41,14.3,32.0,57.8,180.9,2.96
Clay,6.1,16.7,32.6,59.0,110.2,4.24
Sandy,7.48,18.0,29.4,73.6,166.4,3.83
Sandy,6.77,24.6,26.1,73.7,208.2,2.9
Clay,5.98,24.7,31.7,60.5,185.0,2.62
Sandy,6.37,11.5,33.8,67.0,164.7,4.46
Sandy,6.98,18.1,36.0,74.5,116.1,2.52
Sandy,6.39,22.3,27.5,74.9,175.0,3.42
Loamy,5.64,13.6,32.7,51.8,128.6,3.47
Clay,5.84,21.3,25.3,63.8,89.1,4.32
Loamy,7.08,23.2,35.7,68.2,113.5,3.52
Clay,6.8,19.9,25.1,54.7,134.5,2.74
Clay,6.64,14.9,28.9,70.5,219.5,3.18
Sandy,5.84,23.8,25.8,61.7,186.4,2.33
Clay,7.18,23.3,31.8,62.4,119.1,2.85
Loamy,7.42,20.7,28.7,56.9,186.7,4.04
Loamy,5.58,15.5,33.1,57.5,130.1,3.46
Loamy,5.66,21.9,30.4,52.1,165.1,2.8
Clay,7.27,14.7,29.6,73.3,187.1,3.28
Loamy,7.13,13.8,28.8,59.5,183.7,3.26
Clay,6.74,17.7,25.9,54.1,99.6,3.87
Loamy,7.39,25.0,27.3,53.6,195.6,4.27
Loamy,6.79,22.1,32.0,60.2,209.2,3.95
Clay,5.93,20.9,30.5,65.8,112.7,4.08
Loamy,6.96,16.8,25.8,69.4,126.1,3.16
Sandy,6.79,14.7,31.0,73.1,211.3,2.25
Clay,7.47,22.8,25.6,65.9,217.7,2.94
Clay,5.93,18.5,30.6,60.5,143.5,3.45
Clay,6.7,22.2,35.6,60.5,84.8,2.9
Sandy,7.06,17.3,28.4,64.4,210.6,2.58
Clay,6.18,21.3,33.0,63.5,83.6,2.92
Loamy,6.26,23.0,33.2,66.0,126.2,4.19
Loamy,7.28,15.9,29.5,62.6,92.6,3.07
Loamy,6.31,10.2,31.5,51.5,151.6,3.35
Clay,6.75,13.8,30.2,62.5,85.3,2.48
Loamy,7.28,23.7,28.1,50.6,111.6,3.14
Clay,5.92,20.3,33.3,54.5,144.2,3.81
Loamy,7.46,21.1,32.7,59.7,90.4,3.22
Sandy,6.9,14.9,34.9,63.8,147.3,3.08
Sandy,6.49,20.5,31.8,54.6,117.1,2.48
Sandy,6.36,19.7,29.3,56.9,117.4,4.59
Sandy,7.41,12.7,32.9,59.4,211.2,2.48
Clay,5.91,24.5,31.8,54.9,176.6,3.2
Loamy,6.12,15.3,31.8,75.0,210.1,3.36
Sandy,6.12,14.9,34.3,70.1,160.6,3.08
Clay,6.08,15.5,35.0,70.3,207.0,2.37
Sandy,6.44,11.4,27.0,64.2,197.2,3.35
Sandy,7.48,19.4,28.5,74.0,219.7,4.15
Clay,7.28,13.6,32.2,68.3,150.4,2.6
Clay,6.16,22.0,31.1,58.3,177.5,3.56
Loamy,6.35,15.9,32.2,65.3,102.5,4.27
Loamy,6.84,16.9,29.8,63.6,211.5,3.52
Sandy,5.53,19.7,29.5,64.5,135.8,3.35
Sandy,7.14,21.4,26.3,70.4,208.3,3.23
Loamy,7.26,13.5,31.9,62.7,94.1,3.9
Loamy,7.21,24.5,26.9,68.2,152.1,4.26
Clay,6.25,19.3,32.4,56.3,80.2,2.47
Loamy,6.42,10.1,35.6,73.3,138.2,3.03
Loamy,5.52,16.2,27.8,52.2,91.6,4.22
Sandy,6.3,16.6,26.6,74.8,142.9,4.26
Loamy,6.42,22.1,25.3,65.8,157.8,3.11
Sandy,7.31,14.6,29.2,61.7,199.3,3.98
Loamy,7.29,15.0,27.4,57.8,121.4,2.56
Clay,7.43,11.1,30.4,60.1,159.4,2.63
Loamy,7.27,14.3,30.8,69.6,89.3,4.12
Loamy,5.52,20.8,28.8,53.5,207.9,3.33
Loamy,6.78,19.5,33.2,56.3,143.2,2.68
Sandy,5.64,11.2,35.0,53.1,115.4,4.82
Clay,6.05,11.7,27.3,60.7,144.9,3.65
Loamy,6.66,15.7,34.2,59.7,147.4,3.58
Sandy,6.9,21.2,26.4,66.2,184.1,3.47
Clay,6.81,22.5,27.5,74.9,216.4,2.71
Sandy,5.6,10.2,31.2,72.3,106.1,3.89
Sandy,5.71,14.9,28.4,72.0,87.6,3.07
Clay,5.76,16.4,25.5,66.1,171.8,3.69
Loamy,5.68,23.7,28.2,56.8,203.8,3.19
Sandy,5.86,17.5,35.0,59.6,159.1,2.36
Sandy,6.88,14.0,26.9,56.3,91.2,2.56
Loamy,7.16,15.9,33.4,53.4,139.0,4.16
Loamy,6.32,16.5,32.9,60.9,171.7,4.43
Clay,6.89,20.0,26.2,72.4,125.9,4.39
Clay,5.9,10.6,28.6,68.6,198.3,4.05
Clay,7.45,15.8,27.1,74.6,111.5,3.76
Loamy,6.2,19.7,25.3,54.9,131.0,2.78
Sandy,7.19,14.2,26.9,62.5,208.3,3.79
Sandy,7.39,18.9,27.2,69.8,160.3,3.72
Clay,7.23,15.4,26.8,61.5,80.9,3.1
Loamy,5.63,21.4,26.0,58.9,114.2,2.22
Sandy,6.8,10.9,30.8,70.4,185.5,2.61
Clay,5.74,23.8,28.5,60.8,87.3,2.67
Sandy,5.51,12.6,35.0,72.8,219.0,2.38
Sandy,5.6,12.4,27.1,56.7,205.7,2.35
Loamy,7.33,22.6,31.6,72.4,111.3,3.22
Loamy,7.32,23.0,34.9,57.0,205.4,2.77
Sandy,5.95,11.4,25.5,57.2,177.9,4.68
Clay,6.59,23.6,30.7,60.5,139.5,3.65
Loamy,7.41,14.1,30.0,62.9,107.5,4.19
Sandy,6.49,19.3,35.2,60.5,108.0,3.47
Loamy,6.29,11.0,32.3,71.6,163.2,3.59
Loamy,6.47,15.7,28.8,69.9,138.2,3.27
Loamy,7.08,16.8,32.8,57.7,163.3,2.46
Sandy,6.45,19.0,31.4,62.8,126.2,3.44
Clay,7.07,17.9,28.8,60.8,112.2,4.23
Clay,6.36,16.9,33.6,51.4,197.1,3.1
Clay,6.0,24.4,32.3,68.7,208.8,4.28
Loamy,6.15,12.8,25.1,54.5,178.7,3.59
Sandy,5.66,12.4,34.5,73.4,102.6,3.37
Loamy,6.49,20.7,29.4,59.9,92.9,4.14
Clay,5.8,11.1,32.1,65.6,155.5,2.59
Clay,7.12,17.2,29.4,70.5,157.0,3.67
Sandy,6.34,17.3,34.7,54.5,169.5,3.45
Loamy,7.03,14.7,32.2,63.5,206.9,4.09
Clay,7.41,24.0,31.4,55.9,170.6,3.73
Sandy,7.2,14.2,35.8,62.7,208.3,2.83
Loamy,7.4,14.3,28.1,64.5,96.5,4.17
Loamy,6.64,13.5,25.7,54.2,179.3,4.14
Clay,5.83,12.2,30.7,64.5,209.8,3.24
Clay,7.37,15.5,29.7,61.4,144.8,3.77
Loamy,7.24,20.2,30.0,63.0,215.5,2.95
Loamy,7.23,21.1,31.8,72.6,157.4,2.54
Clay,6.89,22.2,31.8,62.1,212.0,3.16
Loamy,6.75,13.0,29.3,61.9,184.8,2.33
Clay,5.53,10.5,34.5,61.8,144.1,2.76
Loamy,7.0,24.6,32.2,65.6,84.8,3.51
Clay,5.68,10.2,34.8,59.2,172.0,4.44
Sandy,6.02,24.4,35.0,70.0,115.6,3.23
Clay,6.6,22.4,26.8,57.2,120.4,2.18
Clay,6.4,23.7,32.5,57.5,82.8,3.48
Sandy,5.53,15.8,28.5,64.7,158.1,2.69
Loamy,7.15,13.0,34.2,56.5,120.5,1.96
Sandy,7.26,19.1,33.1,52.2,217.5,3.12
Clay,6.86,21.1,27.2,55.1,184.9,4.31
Loamy,6.58,12.0,35.3,72.8,130.0,4.63
Sandy,7.42,22.0,32.5,50.3,121.2,4.18
Loamy,5.74,13.1,35.4,53.3,180.1,3.3
Loamy,6.98,17.4,27.2,69.0,115.6,3.85
Sandy,5.76,22.8,34.6,74.5,142.7,4.27
Loamy,6.26,12.9,32.3,67.2,102.5,3.43
Sandy,6.67,13.6,31.1,73.1,115.6,3.61
Clay,6.97,10.9,34.0,71.4,93.8,3.73
Loamy,5.51,12.2,32.0,62.0,139.8,3.17
Clay,6.02,12.2,32.4,58.3,209.7,3.02
Clay,6.58,13.1,27.8,65.8,94.1,3.44
Loamy,6.57,14.3,34.0,63.3,141.2,3.22
Sandy,6.78,22.2,32.2,50.6,121.8,2.69
Loamy,6.11,23.7,34.3,73.9,130.8,4.64
Clay,6.58,16.1,28.9,64.3,188.0,3.03
Clay,5.88,11.9,28.6,71.9,140.9,2.81
Sandy,5.87,13.4,25.3,68.4,171.1,4.07
Loamy,6.65,21.0,33.5,58.5,216.1,3.37
Clay,6.87,20.2,28.6,72.5,166.3,4.1
Clay,5.74,24.5,28.6,69.8,127.2,3.77
Clay,5.75,10.2,32.6,60.7,135.7,3.33
Sandy,6.63,21.3,27.8,71.0,177.4,3.69
Clay,6.04,17.6,35.0,56.8,177.2,3.33
Clay,6.28,23.5,30.9,66.8,131.5,4.0
Loamy,6.3,18.6,35.7,52.9,181.4,3.22
Loamy,5.86,16.7,25.8,71.6,157.1,2.85
Clay,5.5,20.0,28.7,68.2,217.3,4.43
Clay,7.21,22.5,29.2,53.8,207.1,3.55
Loamy,6.93,14.2,33.0,50.5,195.3,2.96
Sandy,6.88,11.6,27.3,59.7,84.8,3.95
Sandy,6.59,16.5,29.1,66.9,133.3,3.09
Sandy,6.9,13.2,35.0,57.1,160.3,3.58
Sandy,7.37,16.4,26.3,74.3,153.0,3.61
Sandy,6.83,24.9,33.2,73.4,186.9,2.89
Sandy,6.03,18.6,32.7,64.9,207.3,2.98
Sandy,6.64,20.4,26.4,57.9,190.2,4.53
Sandy,6.38,20.2,32.6,72.4,110.8,3.19
Loamy,6.61,22.3,31.3,70.1,148.0,4.04
Sandy,6.54,24.2,28.2,52.2,135.1,3.31
Sandy,7.22,19.9,28.4,61.9,187.3,3.04
Sandy,6.8,17.1,34.2,74.5,205.3,3.15
Clay,5.88,14.8,27.5,61.3,120.2,2.71
Loamy,5.63,15.4,30.6,73.3,148.4,3.31
Loamy,6.35,15.0,32.5,74.4,182.5,4.46
Loamy,5.53,14.9,26.4,59.7,87.0,2.48
Sandy,6.14,20.4,35.3,74.1,214.8,3.05
Sandy,6.24,18.8,27.9,53.4,192.0,3.47
Clay,6.25,13.0,28.5,54.0,156.0,3.08
Loamy,7.46,24.5,32.3,56.9,189.0,3.42
Sandy,6.11,16.4,25.9,61.7,197.1,4.27
Loamy,6.03,18.5,31.9,54.5,149.1,3.23
Clay,5.76,20.5,35.1,58.5,141.6,2.83
Clay,6.52,19.2,27.7,52.6,197.3,2.18
Clay,5.81,14.7,29.0,60.8,200.4,3.29
Loamy,6.73,22.0,27.6,70.7,97.3,2.92
Sandy,5.81,11.7,34.0,64.9,207.1,3.38
Sandy,6.65,18.5,26.8,70.3,118.8,2.61
Clay,7.15,14.1,28.8,53.4,173.4,4.58
Sandy,5.59,19.2,31.6,60.0,179.3,4.09
Clay,6.34,13.3,29.5,51.0,119.2,4.1
Loamy,6.42,21.6,25.7,59.2,122.6,4.09
Clay,7.08,13.4,35.4,65.4,178.9,4.76
Loamy,6.44,23.4,28.7,64.2,104.5,3.04
Clay,6.64,22.9,29.9,51.5,200.2,4.23
Sandy,7.08,15.4,26.8,51.6,111.2,4.03
Sandy,6.62,15.8,34.5,57.6,129.2,3.4
Clay,6.22,20.5,28.2,69.3,117.3,4.34
Sandy,5.67,11.4,25.2,50.5,114.3,4.37
Sandy,6.96,11.2,28.5,65.4,217.0,2.11
Sandy,7.24,12.0,35.8,54.6,115.5,3.75
Loamy,7.44,18.4,26.6,73.6,161.0,3.11
Sandy,7.35,12.2,25.3,60.8,184.4,3.96
Loamy,7.09,14.2,31.4,51.2,85.9,3.01
Clay,6.79,19.7,29.1,67.8,203.4,3.18
Sandy,7.06,10.2,33.7,62.1,101.4,4.85
Sandy,6.36,12.7,33.1,72.0,162.3,2.87
Sandy,6.69,23.9,27.0,66.3,169.8,4.18
Clay,6.2,20.0,31.2,67.3,168.1,3.87
Loamy,6.15,14.6,25.4,69.2,182.7,3.75
Loamy,7.01,10.7,29.8,60.5,210.4,4.05
Sandy,6.41,18.8,32.9,69.8,209.8,3.98
Clay,5.92,13.3,29.6,51.3,160.9,3.42
Clay,5.9,24.4,26.3,69.1,131.8,2.99
Clay,7.22,20.3,25.7,65.9,125.0,4.68
Clay,6.86,24.6,34.4,64.2,204.1,3.23
Clay,6.59,22.7,34.8,58.0,199.4,3.59
Loamy,6.3,17.2,28.8,52.9,121.4,4.48
Loamy,6.36,20.0,26.8,66.2,101.3,4.03
Loamy,5.61,22.2,35.8,61.8,200.6,4.06
Sandy,6.41,18.7,31.0,55.4,165.2,3.77
Clay,7.09,10.9,30.2,51.1,123.8,3.39
Sandy,6.28,17.1,33.2,63.5,165.5,4.09
Clay,6.27,12.0,26.9,53.2,89.3,2.76
Loamy,5.53,20.7,31.4,73.2,106.6,2.38
Sandy,6.42,20.2,34.8,53.8,156.4,2.79
Loamy,5.55,24.9,25.3,50.8,155.5,4.18
Clay,6.64,19.4,32.4,56.6,114.5,4.03
Clay,6.51,22.0,31.1,54.4,217.5,3.24
Clay,7.18,14.0,35.5,69.8,137.7,2.87
Loamy,6.66,15.1,27.8,57.2,179.2,2.62
Clay,6.15,23.8,34.4,56.1,116.2,1.86
Loamy,6.53,21.3,28.4,74.9,139.4,3.98
Sandy,6.9,19.8,29.7,53.8,196.4,4.24
Clay,5.69,13.8,27.3,52.1,198.8,3.0
Clay,6.74,20.5,34.5,57.6,98.9,2.88
Clay,7.33,23.3,27.1,60.1,129.7,4.05
Sandy,6.1,13.5,34.4,69.0,108.4,3.25
Clay,6.75,20.6,30.0,73.9,204.6,2.9
Loamy,7.14,15.9,34.2,69.1,185.5,2.18
Loamy,6.52,11.8,27.9,68.2,158.9,3.23
Clay,6.94,21.5,26.5,74.8,171.0,3.57
Clay,6.12,12.5,31.1,69.1,208.0,3.07
Sandy,6.11,13.8,30.6,53.5,122.5,4.03
Sandy,6.84,21.7,28.9,61.5,81.9,3.13
Sandy,6.91,21.1,32.3,62.6,83.7,3.73
Clay,7.37,13.8,26.0,57.6,86.5,3.08
Sandy,5.95,24.1,31.8,54.1,98.0,2.8
Sandy,6.44,13.2,27.3,67.8,159.9,3.51
Loamy,6.0,24.9,26.4,56.9,217.4,3.05
Sandy,5.66,21.1,35.0,65.6,138.8,3.86
Loamy,6.31,15.9,30.1,58.1,179.7,3.02
Loamy,6.25,12.0,33.4,62.7,190.9,2.83
Sandy,6.04,14.8,26.0,58.4,192.2,2.1
Loamy,6.09,12.9,25.6,60.3,142.1,4.0
Clay,6.22,19.3,30.4,68.3,157.0,4.24
Clay,7.48,15.4,28.5,72.1,126.0,4.38
Sandy,7.07,14.4,25.1,62.7,176.3,4.57
Clay,5.64,21.4,27.0,65.3,133.6,3.5
Loamy,7.24,13.5,27.4,71.6,123.5,3.84
Clay,6.77,18.8,28.2,53.6,167.8,4.56
Sandy,7.28,12.9,34.7,54.1,127.8,2.24
Sandy,6.18,20.7,29.6,59.0,137.1,3.78
Loamy,6.43,19.4,32.5,57.7,179.5,3.51
Sandy,7.29,22.0,25.2,74.7,199.5,2.24
Clay,6.05,11.0,34.0,64.1,140.9,2.47
Sandy,7.33,13.2,27.6,63.1,153.1,3.54
Loamy,7.16,12.3,28.4,64.5,184.5,3.28
Sandy,7.46,12.9,25.5,71.9,111.5,3.02
Clay,6.15,11.5,29.5,56.1,138.1,3.96
Loamy,5.97,18.4,34.4,62.8,193.6,3.34
Clay,6.16,18.9,29.2,56.8,205.2,4.03
Loamy,7.41,22.7,35.0,69.5,170.3,4.33
Sandy,6.17,16.3,34.5,69.4,135.1,3.47
Loamy,6.63,18.0,25.7,73.9,164.8,3.23
Loamy,6.31,24.9,28.4,61.2,105.0,3.62
Sandy,6.29,18.0,35.0,54.0,84.1,3.31
Clay,5.89,18.6,25.3,72.4,90.4,3.28
Sandy,6.57,24.9,33.4,72.3,95.1,3.5
Loamy,7.2,24.9,35.0,55.9,111.6,4.19
Sandy,5.6,16.4,33.5,56.9,144.6,3.22
Loamy,7.28,19.5,33.2,57.8,112.5,3.28
Sandy,6.83,17.2,34.3,61.3,161.9,2.87
Sandy,6.73,20.8,32.3,70.7,219.8,4.31
Clay,6.75,24.1,29.7,53.6,149.7,3.94
Loamy,6.09,14.6,25.7,67.5,186.0,3.97
Clay,6.33,22.3,33.7,58.8,120.9,2.7
Loamy,7.1,19.8,35.0,54.9,214.8,3.29
Sandy,6.11,14.2,30.6,58.5,114.9,2.31
Loamy,6.44,22.0,30.9,63.3,163.5,3.62
Clay,5.54,16.4,29.4,73.0,217.7,3.18
Clay,6.97,11.8,34.4,65.7,193.2,4.37
Clay,6.34,24.9,25.2,65.2,218.9,3.28
Loamy,6.55,16.4,31.9,52.7,133.2,4.27
Clay,5.73,18.1,35.0,52.0,90.9,4.21
Clay,7.48,22.1,26.1,53.2,114.1,3.14
Clay,6.1,24.4,35.6,52.4,214.1,2.3
Sandy,6.77,23.1,35.6,64.4,131.9,3.93
Sandy,6.66,17.9,35.2,61.3,97.5,3.48
Loamy,7.07,18.2,30.1,50.1,163.0,4.23
Loamy,6.09,14.2,29.2,58.8,150.1,2.26
Clay,7.01,16.9,32.8,53.2,88.7,3.23
Sandy,6.27,24.2,28.5,74.7,143.4,3.55
Clay,6.32,20.9,25.8,61.5,168.6,4.25
Clay,6.85,10.2,34.9,60.7,112.6,3.75
Sandy,7.07,11.7,32.0,66.1,97.4,2.89
Sandy,6.83,23.9,27.3,58.9,201.1,2.53
Sandy,7.3,22.7,25.2,67.9,167.6,2.86
Loamy,6.07,17.3,33.0,72.6,101.7,3.98
Loamy,7.3,19.3,34.4,62.5,168.1,3.89
Clay,5.76,14.3,29.5,59.6,182.9,4.51
Loamy,6.82,21.9,25.9,63.0,163.7,3.98
Sandy,6.6,19.0,32.1,65.1,96.3,2.88
Sandy,6.49,20.4,28.3,71.2,97.5,3.67
Loamy,6.12,15.6,26.6,59.9,86.3,4.73
Clay,6.51,16.5,30.6,51.3,112.8,2.54
Clay,5.82,13.1,30.3,65.8,88.4,3.41
Loamy,6.24,24.2,30.7,74.7,192.7,3.15
Clay,5.7,24.2,34.1,71.4,82.2,2.52
Clay,6.64,22.3,30.3,69.0,161.3,3.04
Clay,5.69,24.0,34.9,54.4,193.4,2.39
Sandy,5.82,20.0,34.3,68.7,205.3,3.71
Sandy,5.67,13.5,32.2,52.0,137.3,3.33
Loamy,6.26,21.4,25.6,62.3,166.9,4.34
Sandy,7.18,14.9,34.5,59.3,213.2,4.64
Clay,7.31,16.6,35.0,72.6,174.0,4.0
Sandy,5.64,14.1,29.1,54.0,206.2,2.73
Loamy,6.77,16.4,30.8,69.7,175.8,3.03
Sandy,6.87,20.2,28.1,51.2,89.5,3.09
Clay,6.57,11.7,25.2,67.5,107.6,4.03
Clay,6.83,11.6,30.3,57.3,211.7,2.97
Loamy,5.97,20.3,26.4,74.4,198.2,4.18
Sandy,6.48,21.7,27.0,66.8,139.2,3.45
Sandy,6.28,18.3,30.3,57.7,102.6,3.99
Sandy,5.68,12.7,34.5,55.9,102.0,4.31
Clay,6.75,16.5,34.3,66.0,206.7,3.33
Loamy,6.49,21.4,35.6,56.8,103.3,3.53
Sandy,6.05,20.3,30.3,54.7,134.1,3.01
Clay,6.45,11.6,31.1,66.2,206.1,4.25
Clay,7.05,24.5,34.0,68.1,84.7,2.26
Clay,7.1,13.4,32.7,56.0,168.3,2.74
Sandy,6.8,13.3,27.0,63.4,129.1,3.64
Sandy,6.44,16.9,29.4,66.6,95.1,2.27
Sandy,6.65,14.9,35.2,73.5,159.5,3.89
Sandy,6.27,24.8,26.6,70.1,147.9,2.71
Sandy,5.75,11.1,27.3,60.5,93.9,3.83
Sandy,6.27,14.6,29.4,71.1,117.4,3.6
Sandy,6.56,15.7,35.3,61.0,183.6,2.69
Sandy,6.7,17.4,26.3,53.3,185.8,3.59
Sandy,7.37,10.2,32.4,58.5,163.8,4.48
Clay,7.05,11.2,26.5,70.1,95.5,4.29
Sandy,5.8,13.9,30.8,73.9,199.4,3.66
Loamy,5.85,18.3,30.9,74.6,104.2,4.54
Clay,5.7,21.5,25.5,66.0,180.9,3.67
Sandy,6.98,20.3,35.5,62.0,86.0,3.59
Loamy,6.91,18.5,33.9,54.1,126.5,3.42
Sandy,7.47,16.0,28.3,52.6,147.0,2.91
Loamy,6.54,23.1,26.4,63.0,83.9,2.7
Loamy,7.15,16.9,28.8,68.2,104.0,3.05
Loamy,6.65,14.5,34.8,58.1,124.6,3.39
Loamy,7.25,19.4,26.5,66.9,217.6,3.51
Clay,6.94,20.4,28.8,64.3,189.1,3.53
Clay,6.79,16.0,30.4,73.5,197.7,3.0
Loamy,6.63,10.4,25.4,55.2,173.5,2.54
Sandy,6.95,11.4,27.9,64.8,120.9,2.22
Loamy,6.34,22.7,31.6,60.3,179.3,3.28
Clay,5.69,10.8,28.6,56.5,174.3,4.26
